Hz,dB
22050.0,-inf,
22049.3270874,-inf,
22049.3270874,-inf,
22048.6541748,-inf,
22048.6541748,-inf,
22047.9812622,-inf,
22047.9812622,-inf,
22047.3083496,-inf,
22047.3083496,-inf,
22046.635437,-inf,
22046.635437,-inf,
22045.9625244,-inf,
22045.9625244,-inf,
22045.2896118,-inf,
22045.2896118,-inf,
22044.6166992,-inf,
22044.6166992,-inf,
22043.9437866,-inf,
22043.9437866,-inf,
22043.270874,-inf,
22043.270874,-inf,
22042.5979614,-inf,
22042.5979614,-inf,
22041.9250488,-inf,
22041.9250488,-inf,
22041.2521362,-inf,
22041.2521362,-inf,
22040.5792236,-inf,
22040.5792236,-inf,
22039.906311,-inf,
22039.906311,-inf,
22039.2333984,-inf,
22039.2333984,-inf,
22038.5604858,-inf,
22038.5604858,-inf,
22037.8875732,-inf,
22037.8875732,-inf,
22037.2146606,-inf,
22037.2146606,-inf,
22036.541748,-inf,
22036.541748,-inf,
22035.8688354,-inf,
22035.8688354,-inf,
22035.1959229,-inf,
22035.1959229,-inf,
22034.5230103,-inf,
22034.5230103,-inf,
22033.8500977,-inf,
22033.8500977,-inf,
22033.1771851,-inf,
22033.1771851,-inf,
22032.5042725,-inf,
22032.5042725,-inf,
22031.8313599,-inf,
22031.8313599,-inf,
22031.1584473,-inf,
22031.1584473,-inf,
22030.4855347,-inf,
22030.4855347,-inf,
22029.8126221,-inf,
22029.8126221,-inf,
22029.1397095,-inf,
22029.1397095,-inf,
22028.4667969,-inf,
22028.4667969,-inf,
22027.7938843,-inf,
22027.7938843,-inf,
22027.1209717,-inf,
22027.1209717,-inf,
22026.4480591,-inf,
22026.4480591,-inf,
22025.7751465,-inf,
22025.7751465,-inf,
22025.1022339,-inf,
22025.1022339,-inf,
22024.4293213,-inf,
22024.4293213,-inf,
22023.7564087,-inf,
22023.7564087,-inf,
22023.0834961,-inf,
22023.0834961,-inf,
22022.4105835,-inf,
22022.4105835,-inf,
22021.7376709,-inf,
22021.7376709,-inf,
22021.0647583,-inf,
22021.0647583,-inf,
22020.3918457,-inf,
22020.3918457,-inf,
22019.7189331,-inf,
22019.7189331,-inf,
22019.0460205,-inf,
22019.0460205,-inf,
22018.3731079,-inf,
22018.3731079,-inf,
22017.7001953,-inf,
22017.7001953,-inf,
22017.0272827,-inf,
22017.0272827,-inf,
22016.3543701,-inf,
22016.3543701,-inf,
22015.6814575,-inf,
22015.6814575,-inf,
22015.0085449,-inf,
22015.0085449,-inf,
22014.3356323,-inf,
22014.3356323,-inf,
22013.6627197,-inf,
22013.6627197,-inf,
22012.9898071,-inf,
22012.9898071,-inf,
22012.3168945,-inf,
22012.3168945,-inf,
22011.6439819,-inf,
22011.6439819,-inf,
22010.9710693,-inf,
22010.9710693,-inf,
22010.2981567,-inf,
22010.2981567,-inf,
22009.6252441,-inf,
22009.6252441,-inf,
22008.9523315,-inf,
22008.9523315,-inf,
22008.2794189,-inf,
22008.2794189,-inf,
22007.6065063,-inf,
22007.6065063,-inf,
22006.9335938,-inf,
22006.9335938,-inf,
22006.2606812,-inf,
22006.2606812,-inf,
22005.5877686,-inf,
22005.5877686,-inf,
22004.914856,-inf,
22004.914856,-inf,
22004.2419434,-inf,
22004.2419434,-inf,
22003.5690308,-inf,
22003.5690308,-inf,
22002.8961182,-inf,
22002.8961182,-inf,
22002.2232056,-inf,
22002.2232056,-inf,
22001.550293,-inf,
22001.550293,-inf,
22000.8773804,-inf,
22000.8773804,-inf,
22000.2044678,-inf,
22000.2044678,-inf,
21999.5315552,-inf,
21999.5315552,-inf,
21998.8586426,-inf,
21998.8586426,-inf,
21998.18573,-inf,
21998.18573,-inf,
21997.5128174,-inf,
21997.5128174,-inf,
21996.8399048,-inf,
21996.8399048,-inf,
21996.1669922,-inf,
21996.1669922,-inf,
21995.4940796,-inf,
21995.4940796,-inf,
21994.821167,-inf,
21994.821167,-inf,
21994.1482544,-inf,
21994.1482544,-inf,
21993.4753418,-inf,
21993.4753418,-inf,
21992.8024292,-inf,
21992.8024292,-inf,
21992.1295166,-inf,
21992.1295166,-inf,
21991.456604,-inf,
21991.456604,-inf,
21990.7836914,-inf,
21990.7836914,-inf,
21990.1107788,-inf,
21990.1107788,-inf,
21989.4378662,-inf,
21989.4378662,-inf,
21988.7649536,-inf,
21988.7649536,-inf,
21988.092041,-inf,
21988.092041,-inf,
21987.4191284,-inf,
21987.4191284,-inf,
21986.7462158,-inf,
21986.7462158,-inf,
21986.0733032,-inf,
21986.0733032,-inf,
21985.4003906,-inf,
21985.4003906,-inf,
21984.727478,-inf,
21984.727478,-inf,
21984.0545654,-inf,
21984.0545654,-inf,
21983.3816528,-inf,
21983.3816528,-inf,
21982.7087402,-inf,
21982.7087402,-inf,
21982.0358276,-inf,
21982.0358276,-inf,
21981.362915,-inf,
21981.362915,-inf,
21980.6900024,-inf,
21980.6900024,-inf,
21980.0170898,-inf,
21980.0170898,-inf,
21979.3441772,-inf,
21979.3441772,-inf,
21978.6712646,-inf,
21978.6712646,-inf,
21977.9983521,-inf,
21977.9983521,-inf,
21977.3254395,-inf,
21977.3254395,-inf,
21976.6525269,-inf,
21976.6525269,-inf,
21975.9796143,-inf,
21975.9796143,-inf,
21975.3067017,-inf,
21975.3067017,-inf,
21974.6337891,-inf,
21974.6337891,-inf,
21973.9608765,-inf,
21973.9608765,-inf,
21973.2879639,-inf,
21973.2879639,-inf,
21972.6150513,-inf,
21972.6150513,-inf,
21971.9421387,-inf,
21971.9421387,-inf,
21971.2692261,-inf,
21971.2692261,-inf,
21970.5963135,-inf,
21970.5963135,-inf,
21969.9234009,-inf,
21969.9234009,-inf,
21969.2504883,-inf,
21969.2504883,-inf,
21968.5775757,-inf,
21968.5775757,-inf,
21967.9046631,-inf,
21967.9046631,-inf,
21967.2317505,-inf,
21967.2317505,-inf,
21966.5588379,-inf,
21966.5588379,-inf,
21965.8859253,-inf,
21965.8859253,-inf,
21965.2130127,-inf,
21965.2130127,-inf,
21964.5401001,-inf,
21964.5401001,-inf,
21963.8671875,-inf,
21963.8671875,-inf,
21963.1942749,-inf,
21963.1942749,-inf,
21962.5213623,-inf,
21962.5213623,-inf,
21961.8484497,-inf,
21961.8484497,-inf,
21961.1755371,-inf,
21961.1755371,-inf,
21960.5026245,-inf,
21960.5026245,-inf,
21959.8297119,-inf,
21959.8297119,-inf,
21959.1567993,-inf,
21959.1567993,-inf,
21958.4838867,-inf,
21958.4838867,-inf,
21957.8109741,-inf,
21957.8109741,-inf,
21957.1380615,-inf,
21957.1380615,-inf,
21956.4651489,-inf,
21956.4651489,-inf,
21955.7922363,-inf,
21955.7922363,-inf,
21955.1193237,-inf,
21955.1193237,-inf,
21954.4464111,-inf,
21954.4464111,-inf,
21953.7734985,-inf,
21953.7734985,-inf,
21953.1005859,-inf,
21953.1005859,-inf,
21952.4276733,-inf,
21952.4276733,-inf,
21951.7547607,-inf,
21951.7547607,-inf,
21951.0818481,-inf,
21951.0818481,-inf,
21950.4089355,-inf,
21950.4089355,-inf,
21949.7360229,-inf,
21949.7360229,-inf,
21949.0631104,-inf,
21949.0631104,-inf,
21948.3901978,-inf,
21948.3901978,-inf,
21947.7172852,-inf,
21947.7172852,-inf,
21947.0443726,-inf,
21947.0443726,-inf,
21946.37146,-inf,
21946.37146,-inf,
21945.6985474,-inf,
21945.6985474,-inf,
21945.0256348,-inf,
21945.0256348,-inf,
21944.3527222,-inf,
21944.3527222,-inf,
