time,hz,db
2014-08-13 22:48:06,53.8330078125,66.302726404,
2014-08-13 22:48:07,990.52734375,84.0589412053,
2014-08-13 22:48:08,979.760742188,83.0313231517,
2014-08-13 22:48:09,979.760742188,81.3245259706,
2014-08-13 22:48:10,968.994140625,81.3586713619,
2014-08-13 22:48:11,958.227539062,83.012054521,
2014-08-13 22:48:12,947.4609375,81.2441058385,
2014-08-13 22:48:13,936.694335938,82.0963930953,
2014-08-13 22:48:14,925.927734375,82.7239204748,
2014-08-13 22:48:15,915.161132812,83.6202749777,
2014-08-13 22:48:16,904.39453125,82.4291474367,
2014-08-13 22:48:18,893.627929688,82.7038900799,
2014-08-13 22:48:19,882.861328125,80.1796411164,
2014-08-13 22:48:20,872.094726562,81.1383090893,
2014-08-13 22:48:21,861.328125,77.7310553141,
2014-08-13 22:48:22,861.328125,81.9382048463,
2014-08-13 22:48:23,850.561523438,82.3353703891,
2014-08-13 22:48:24,829.028320312,80.4076688203,
2014-08-13 22:48:25,818.26171875,82.407891422,
2014-08-13 22:48:26,807.495117188,82.0422906373,
2014-08-13 22:48:27,796.728515625,83.0744453566,
2014-08-13 22:48:29,785.961914062,81.5880608126,
2014-08-13 22:48:30,775.1953125,83.0106288571,
2014-08-13 22:48:31,764.428710938,80.2107137004,
2014-08-13 22:48:32,753.662109375,81.5531722573,
2014-08-13 22:48:33,742.895507812,81.4603543733,
2014-08-13 22:48:34,732.12890625,81.3577910652,
2014-08-13 22:48:35,721.362304688,79.9117311069,
2014-08-13 22:48:36,699.829101562,81.2348806924,
2014-08-13 22:48:37,689.0625,77.0328172893,
2014-08-13 22:48:38,678.295898438,76.5063944208,
2014-08-13 22:48:39,667.529296875,77.5524074208,
2014-08-13 22:48:41,645.99609375,74.107928171,
2014-08-13 22:48:42,635.229492188,76.5429843537,
2014-08-13 22:48:43,624.462890625,73.6584742071,
2014-08-13 22:48:44,602.9296875,74.5655780924,
2014-08-13 22:48:45,592.163085938,75.0471160831,
2014-08-13 22:48:46,570.629882812,74.7506040825,
2014-08-13 22:48:47,559.86328125,75.6632479672,
2014-08-13 22:48:48,538.330078125,77.5077092094,
2014-08-13 22:48:49,527.563476562,77.1065843145,
2014-08-13 22:48:50,506.030273438,74.1013849437,
2014-08-13 22:48:52,484.497070312,72.6434413659,
2014-08-13 22:48:53,473.73046875,73.8046917222,
2014-08-13 22:48:54,452.197265625,68.4659136598,
2014-08-13 22:48:55,430.6640625,71.5436988837,
2014-08-13 22:48:56,409.130859375,69.9231377237,
2014-08-13 22:48:57,387.59765625,67.1187139869,
2014-08-13 22:48:58,366.064453125,67.6943345575,
2014-08-13 22:48:59,333.764648438,69.4425174377,
2014-08-13 22:49:00,301.46484375,66.8522161707,
2014-08-13 22:49:01,269.165039062,65.6634873856,
2014-08-13 22:49:02,53.8330078125,70.4543357286,
2014-08-13 22:49:04,53.8330078125,66.0613243444,
2014-08-13 22:49:05,53.8330078125,67.3448435165,
